Hired,Outstanding,Considerable,Mid,Denied,,,,,,,,,,,,,,,,,,,
2024/10/25 3:08:20 am GMT+8,DimRom,dimrom,UTC+2,Spain / Europe,18-20,Male,he/him,2 DAYS 3 HOURS 51 MINUTES,,"Explain the player the words they used are not appropriate in this server and tell it to please cut it out, if the behavior is repeated, I would give a /warn and finally if they still continue, I'll mute the player.","Inspect with /core i and restore the build this player griefed, then give a 7 days ban",I have been staff in some servers as moderator mostly and my personal server (about 4-5 years ago),The reason I see myself being chosen and maybe not a different person is because I can be online every single day,"Probably Moderator still, I don't need a higher role",Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;TICK HERE IF YOU ARE ABLE TO JOIN DURING HOLIDAYS.,5 - 6 hours,I may be online 4 hours only some days because I have to study but other days I can be online 14 hours,Yes,,,,,
2024/10/31 5:58:02 am GMT+8,OrmostheGalaxy,gloom,EST,canada,13 - 14,Male,he/him,in /stats its 17 hours but on minehut it says over a day,report it to higher authority than them,i would tell them to try to keep it to a minimum if they can,temp ban anyways,,"I am very committed and I will try to be as active as I can, I will try to host server activities if it gets boring for others, I will be as respectful as I can, I can think out solutions for problems others may have and if it doesn't work i will try a different solution",i don't plan on needing to get better so i'm fine where you put me and probably more respected by server members(minecraft),Monday;Tuesday;Wednesday;Thursday;Friday;Sunday,3 - 4 hours,,Maybe,,,,,
2024/10/18 1:44:02 am GMT+8,ejw12,ejw12,America / New York (EST),United States,13-15,Male,he/him,6 days and 16.43 hours,"Report it to the server owner (Egono), and try my best to prevent the person from causing more damage.","I would give them a short mute + a warn and tell them to stop, then if they persist there would be a permanent mute (because chat bypass [according to rules] is permanent mute)","I would use /co i to confirm who griefed, then give the griefer a warn or a short ban depending on the amount of griefing, and finally rollback the griefing. (If they were using nuker, they would get a 2 month ban because [according to admins] nuker is 2 month ban)

I would warn them for map trashing (placing random blocks or breaking random blocks)
A warn for altering player's builds without permission
I would give them a 7 day ban for griefing (destroying player's builds)
I would give them a 2 month ban for nuker (full on map destruction and mass griefing)","I'm staff in BoxElite.minehut.gg, MuxBox.minehut.gg, and LifestSmpe.minehut.gg (inactive), and Expador (in development)","I feel like I can be more active than other applicants and be online more, and I think I can help get 50x more players and be more active. I can also be online at times when other staff aren't usually online so I can help moderate the server more consistently.","Possibly Sr. Moderator, or Moderator.",Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday,3 - 4 hours,If I become a staff member can I still keep my designer-rank permissions? (please) [unless staff has higher rank-permissions],Yes,,,,,
2024/10/06 11:19:27 am GMT+8,hj86,lil_hbomb,UTC-5,United States,16-17,Male,he/him,1 day and 1.63 hours,,"I would say I completely get it, but remind them that there are others in the server than just themselves. There could be children or people that aren't comfortable with profanity.","Learn all sides of the story, and take effective action against the greifer.",I moderated a couple SMP's with my friends.,"I am online frequently (other than Sundays, that's my fams Church day), and I feel like I am able to level with people and be as reasonable as possible.",Hopefully a jr. or sr. mod. Any position that can help make the server a better place to play.,Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,3 - 4 hours,"I would suggest that there HAS to be at least ONE admin online at one time. Whenever there isn't, a greifer or hacker ends up destroying everything, and everyone comes crawling to the discord for an admins help.","Accepted or not, I will still play on this server.",,,,,
2024/08/18 12:06:08 am GMT+8,Its_Caty,caty_cat_real,UTC +3,Israel,16-17,Male,he/him,1 day and 5.14 hours,i will report to other admins or higher ranks,i would warn them with /warning and if they continue i will mute them,check in /co i who griefed and if its a major grief its a warning/1 day ban and if its a grief 7 days ban,i am a staff member (admin) at a server its a small server its around 20-50 people each day,i have some experience with another i am online a lot i have joined a year ago i love playing on the server and there are a lot of times that there are no staff online and ppl grief bc of it,i think i would like sr. mod or mod,Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;TICK HERE IF YOU ARE ABLE TO JOIN DURING HOLIDAYS.,5 - 6 hours,i have been a lot and i have seen a lot of times and i will like to point out that i had a total of around 40 days and it all got a reset😪,i am kind of i dont really know,,,,,
2024/09/22 8:08:52 pm GMT+8,Lalovoe,lalovoe,UTC+1,Denmark,18-20,Male,he/him,Like 1 day and maybe 6 to 8 hours,Publicly warn them verbally in the in-game chat to get their attention and let others see. If nothing happens I’ll create a report in discord or just talk to higher rank staff about it.,The server has clear rules on not swearing (and even uses a built-in system to prevent it!!) and is clearly focused on being a family friendly server. By that nature it naturally means that all forms of free speech are not allowed and some censorship has to take place. I’ll warn them and mute them if they continue.,"BAN THEM BOTH!!!! No just kidding. If its still going on ill ask them to stop and tell me what’s going on. Then ill ask if anyone else has caught them behaving bad/greifing. If they got a clear bad aura by plenty other witnesses I’ll give them a ban depending on the damage. If nothing can be determined its difficult to punish them, but realistically I will probably give them a warning, and tell them to get their issues solved between each other. Greifing as revenge is still greifing. Its difficult to understand the theoretical situation 100% without a real example. But I would try to assess the situation further before jumping the gun, is basically what I’m trying to say.",Not anything serious no,"Because I like to play on the server and I want to see it in the best possible state. I often witness bad behaviour either in chat or in game by griefers etc and I have the urge to step in and stop them. Of course this is not always possible without power over them. And if what they, or a group of people, are doing is really bad, it can put the server in a state of limbo where no ordinary players can enjoy the server until griefers get bored and leave. It really sucks to get stuck in a situation like that!",Moderator. I don’t see myself wanting to climb the staff ladder any further as I literally just want to keep the server clean.,Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;TICK HERE IF YOU ARE ABLE TO JOIN DURING HOLIDAYS.,1 - 2 hours,"I am a very long time player of Minecraft, so I know my way around the game in practically every way. I started in 2010, so I’ve practically played my whole life.","I’m not sure if I haven’t played enough to meet your standards(I’ll definitely rake up a lot more hours), or just meet them in general, but I’m hoping for the best.",,,,,
2024/10/18 9:39:45 am GMT+8,Notreal17,nori_trea,UTC+8,Singapore,13-15,Female,she/they,I dont really remember but i think it was 2 days and 7 hours (cant check now because my conputer has died),"Tell someone, and keep out, take screenshot, keep evidence","Tell them to stop again, say it's disrespectful, if they try to do it again, temporarily mute, then if they still do it, kick temp, and if they repeat the offence again, ban.","Use the block check to see for evidence, then continue with the standard procedure",,"Well I'm pretty active, have good relations, I'm not bias, and can defuse arguments well (wait- this needs to be 100 characters!?!)",Ahah im not really sure but im hopung to be at least a mod lah,Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;TICK HERE IF YOU ARE ABLE TO JOIN DURING HOLIDAYS.,1 - 2 hours,"Ah um there was one thing I wanted to bring up with yall which was the survival thjng, I normally play noteblocks manually *no notebot and people will stsrt hitting or killing me, so something or an idea I wanted to try was that you can't attack players in survival unless you are in survival too. Idk.",Maybe,,,,,
2024/09/28 4:13:46 am GMT+8,Amilliie,amiliie,BST,"United Kingdom, Europe",16-17,I don't exactly have a prefferred gender.,"Any again, I don't mind.",,"I would contact a manager or owner, depending on which would be easier to contact at the time. I would do it in DM's however to keep the case anonymous until it has been resolved by a manager/owner.",I would explain that we have chat rules for a reason and give them a verbal warning that continued swearing may result in punishment.,I would use co inspect to see who broke and place blocks in the position and ban accordingly.,"Yes, I am a moderator on discord.gg/linux, I was also a moderator on the French server Derycube. I also own my own 200 member Discord.

I also was a manager on a smaller Minehut server in 2021 / 2022.",I have experience with moderating servers and have a passion for protecting 50xcreative as it means a lot to me and a lot to the community. I find that sitting around helplessly while hackers get their way when no staff are online to be a waste of my time and I want to use my time for something productive.,Moderator,Monday;Tuesday;Wednesday;Thursday;Friday;Sunday;TICK HERE IF YOU ARE ABLE TO JOIN DURING HOLIDAYS.,3 - 4 hours,,"I'm not too sure, but I hope I do :)",,,,,
2024/11/01 8:52:13 am GMT+8,DeafSponge,deafsponge,CET,Italy,13 - 14,Male,he/him,"5 days, 10 hours 59 minutes",Tell an even higher staff member (e.g. Egono),"I try to convince them that is bad and to stop, if they dont I call for staff","I would call for staff for help or, if I have the perms I use /co i to actually see who griefed the build and confront the griefer",no,I played in 50x for a very long time and I memorized most of the server's rules. I'm very active in the server and I think I would be helpful.,sr. mod,Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;TICK HERE IF YOU ARE ABLE TO JOIN DURING HOLIDAYS.,3 - 4 hours,"50x is my main server, I play it around 2-3 hours in the weekdays depends if I need to study or not, and from 5 to 6 hr in the weekends. I really enjoy the 50x community, and spending time with friends I met there. I'm a builder, and I really enjoy building in 50x. Whenever the is a rulebreacker and there isn't any staff members I'm always frustrated that I cant do anything about it exept calling for help, I think that as a staff member I would be able to do a lot in the server and help people",Yes,,,,,
2024/10/17 11:07:18 am GMT+8,Teamf2_s3al,wh1t4f0r3est,"UTC -07:00 mountain time, USA and Canada",United States,13-15,Male,"Anything, as long as i can see its me","5 days from reset, 20 days without them i think","create a ticket, if The abusing staff closes it, i will DM the higher ups","Still, I have to mute them because it is a rule to not bypass chat filter",There's this cool this called core protect inspect,"I have some, but not enough to qualify here since it was my server which died very fast","Because I am very passionate for the community, and Do my best to stop griefers with my rank, I am also Very able to remember the rules of the server",Doing my best,Monday;Friday;Saturday;Sunday,3 - 4 hours,"Some days i will be able to get on, but thats not often because of school and soccer",I just wanna try my best,,,,,
2024/10/23 8:27:01 am GMT+8,SassyOlive,celestialsunset,UTC -7,Phoenix,13-15,Female,she/her,"Idk, but it's over a day",Report them to other staff that's able to make a change.,"I think I would give them a chance to stop swearing (like a warn) and then clear chat, but if they continue to swear I would ban them and then clear chat again.",I would tell them that I just witnessed them griefing and then consider if it was a minor grief or a nuke,"I don't have any experience, but I would like to try starting at a lower-level staff member to see if it is possible for me to do.","reasons why you should choose me over other applicants:

I have a good amount of time to log on and do my job every day.
I am responsible even at my young age
I don't even enjoy bragging about things in life 
I am willing to make even more time in my day for 50xcreative.",maybe a mod of sr. mod,Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;TICK HERE IF YOU ARE ABLE TO JOIN DURING HOLIDAYS.,3 - 4 hours,I'm obsessed with 50xcreative? idk lol,Maybe,,,,,
2024/08/18 5:57:48 am GMT+8,tktext,tktext,NA EST,United States,13-15,Male,he/him,11 Hours Sadly..,Report it to a higher staff such as a manager or the owner immediately.,"Warn them and say that it is not against OUR rules and if they do it again, I will mute them for the designated time.","This question is tricky because I can get in trouble for not getting proof. Before I punish the griefer, I will make sure to get plenty of witnesses and so they can vouch for me that I wasn't lying.","Yes, I owned 4 servers named GroupBox, BasicCuboid, Basic, and Trimz. They were all pretty successful and active. I somehow maintained it all in one piece.",I am a very dedicated and inspiring member who wants to be very active and punish rule breakers because I hate to see them. Also I do have 3+ years of experience in my previous servers.,I would be thankful for any position 🙏,Monday;Tuesday;Wednesday;Thursday;Friday;Saturday,3 - 4 hours,,Yes,,,,,
2024/10/28 10:41:27 pm GMT+8,WellChuffed,ziniixty,GMT,England,15 - 16,Male,he/him,7 days (thats what minehut says),Report to owner/ someone of high authority then them,warn them then mute them for 1 minute then 30 then 1 hour then days then perm,Ban them,,"I have been playing for ages, i know most of the staff, i am reasonable and wont listen to one person side of the story (unless i know they griefed). I wont abuse if someone is annoying me.",Staff,Monday;Wednesday;Thursday;Friday;Saturday;TICK HERE IF YOU ARE ABLE TO JOIN DURING HOLIDAYS.,3 - 4 hours,Always bet on green,Yes,,,,,
2024/09/21 2:15:05 am GMT+8,Leavish_,leavish_,UTC-5,USA South Carolina,13-15,Male,he/him,"I'm not sure, But I've play a decent amount of time.","I will try to screen record it, if for some reason I can't, I will screen shot it, and report them to another admin. If there are no admins I will report via discord to another admin or higher to get the issue solved as soon as possible.","I would say, ""There are younger children in this server who aren't ready to see to see that type of language yet. It may be a personal freedom, but it isn't ethical and it's still breaking the server's rules."" After that I will make proper judgement by looking at what other bans/ kicks they have. I would give them a proper punishment depending on what they've done it the past.","Ask the other player, if they deny it, I will ask other potential witnesses what they've seen then punish them accordingly.",I made my way up from a moderator to an admin in an old discord server about modding Sims 4. Soon the server was disbanded due to inactivity.,"I always treat others professionally, and with respect. I take my position as moderator very seriously, and I tend to be very focused whenever I do something I enjoy. I, myself used to make these ""Jails"" when I used to play in other creative servers when I was 11 or 12, but now that I see that there is a position to do something I previously loved doing, come back as an opportunity for a server I enjoy makes be really look forward to having a chance to do it again. I've always had a thing for enforcing rules as a small child (even though I did get a phone call or 2 home in elementary) and I see this as almost practice for joining the junior deputy of my city when I turn 15 soon to then be a cop when I'm older. (sorry if that was long!)","I'd see my self doing regular mod things, on my way to becoming an admin",Monday;Thursday;Friday;Saturday;Sunday;TICK HERE IF YOU ARE ABLE TO JOIN DURING HOLIDAYS.,1 - 2 hours,Sounds spammers are a big thing here.,Yes,,,,,
2024/10/26 2:51:31 am GMT+8,848kkll,848kkll,GMT+1,United Kingdom,18+,Male,he/him,3 weeks and 4 days,I would ask them why are they doing this and I would try to make them stop and revert the changes they have done and say sorry to everyone. If they don't stop I will report them to even higher authority e.g. Manager so they can deal with the situation.,I would explain to them that some people might not want swear words to be said on the server and it is also why we have a filter for them and then I would mute them for 1 or 2 days or just a couple of minutes depending on how serious it is.,"I would tell them the we have /co inspect to see who broke or placed blocks and that we can see that he was griefing and then I would warn if it was minor ,ban for 7 days if it was a proper greif and I would ban them for 30d if it was a major greif.",I have not so I am seeking experience in 50xCreative.,You should choose me over other applicants since I can moderate when most staff and other applicants couldn't I can support this since when I log on no staff are online and dont join until hours later.,"In three month's time, I see myself as a mod.",Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;TICK HERE IF YOU ARE ABLE TO JOIN DURING HOLIDAYS.,5 - 6 hours,I have nothing else to point out but just to say that every staff member is wonderful and i am grateful for this server.,Yes,,,,,
2024/08/17 2:55:30 pm GMT+8,sgdy,sgdy,UTC-5:00,United States,13-15,Male,he/they,1 day 6 hours 31 minutes at the time of applying.,"Get evidence of the staff member abusing, then send proof to a manager so they can deal with it.","I would inform them that the server rules say they have to keep their messages appropriate. If they fail to comply with the rules, I would punish them respectfully to their offense.","I would use the coreprotect plugin to check get proof that they had griefed the build, then I would either warn if it was a minor grief, or ban them for 7 days if it was a major grief.","I have 3 years of prior experience moderating Minecraft servers, and just under 4 years of experience moderating Discord servers. 
For Minecraft servers, I was the Lead Admin on DupeTop (which has sadly been shut down since), Admin/Temporary Manager on L1festee1 (now known as minecrush), and Admin on DupeBlocks (now known as dupecrush).
For Discord servers, I was the same ranks listed for the Minecraft servers (2100, 5500, and 3500 at the time respectively) I was the head of staff on a smaller discord server (about 250 people), and an Admin for another small discord server (about 200 people)","I believe I should be chosen over other applicants because I have lots of prior experience moderating both Minecraft and Discord servers, and I can quickly adapt to changes and situations.","In three months time I would like to see myself at least at a Moderator level, as I believe three months of training and getting used to using the plugins",Monday;Wednesday;Thursday;Friday;Saturday;Sunday;TICK HERE IF YOU ARE ABLE TO JOIN DURING HOLIDAYS.,3 - 4 hours,"My hours may change around summer or if I get a job, but I should still be able to be online about 10+ hours/week.",Yes,,,,,
2024/09/30 2:55:45 am GMT+8,MoonStar25,moonstar25_24778,PDT,United States,13-15,Male,he/him,"10 Days, 20 Hours, and 39 Minutes","I tell them to stop politely. If they do not stop, I ask them again. If they continue still, I tell another higher ranking staff about said interaction or I give them a temporary ban.","I tell them that on this server, swearing is not allowed, and I warn them that if they continue to swear, they will be muted.","I tell them that I saw them grief, and I ask in chat who else saw the person grief. If they admit to it then, they will get a warn or a shorter ban, but if they persist and continue to grief, they will get a longer ban.","Yes, I have. I was an admin on a server that closed down, called FreeOPSandbox.","I have been on the server much longer than most and have witnessed many bans, warns, and griefing. If no staff were online, sometimes I would even step in and put them in containment.","In three months' time, i see myself as a Sr. Mod or Admin.",Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;TICK HERE IF YOU ARE ABLE TO JOIN DURING HOLIDAYS.,3 - 4 hours,None.,Yes,,,,,
2024/10/18 6:22:14 am GMT+8,SGGopen,sggopen,UTC-5,United States Of America Southeastern Regiom,13-15,Male,he/him,"More than 1 Day, currently fixing my computer in the shop 2 days.","Immediately tell the owner about the situation even if it requires a ping. Then, control the situation to the best of my abilities.","Tell them to stop verbally one more time, then mute for 1 hour.","I would do /co inspect to check the area of griefing, if it is them, then I would ban for 7 days, if it is someone else, I would ban the person who griefed for 7 days, I will screenshot the co inspect and report it to the authorities.","Yes, I was a trainee mod on the previously known as mineclub server. +300 players. Custom domain","I’ve been apart of the community for around 5-6 months and I would like to not only possibly grow the 50XCreative community, I would like to moderate the server as it does have understaffing problems, especially at later at night which can lead to mass grief with no punishment, and I would like to support the community. I also a charismatic, mature, and intelligent. Some of my weaknesses is being very stubborn and self reliant.",I would see me as a Sr. mod or a Mod,Tuesday;Wednesday;Thursday;Saturday;Sunday;TICK HERE IF YOU ARE ABLE TO JOIN DURING HOLIDAYS.,3 - 4 hours,"My computer is being fixed at this time, so I NEED some sort of grace period as I figure out a solution for the mean time.",Maybe,,,,,
,Silencee__,silencee__op,GMT+1,"Ireland, Europe.",13 - 14,Male,he/him,"My current playtime is 2 hours, please don't instantly deny my application because I didn't have the minimum required playtime.. It's because I recently found the server and started to pllay it.",As a lower-ranked staff member to be very honest I cannot do much except just clip them abuse and send it to staff manager to handle the situation further.,"I’d tell them that just because they can swear doesn’t mean they should — especially on a server where the rules says to not swear. Freedom of speech doesn’t mean they can swear at others.. If they kept on swearing after I tell them this, I would take some action and mute them.","I'm pretty sure there is a plugin on 50xCreative where it tells you which players break what block etc.. If this wasn't a thing, I'll just try to find some evidence against them and prove it that they were griefing others builds.","Yes, I have tons of previous staffing experience.. Rather than listing all the servers, I prefer to just send my portfolio link..
Portfolio — https://tinyurl.com/2kjx7vf4","I believe you should accept me over other applicants because I’m a positive and responsible person.I've checked the server, it's extremely nice I appreciated the staff team for the environment they created—it’s all very organized. I stay calm and keep my cool when problems come up, and I’m good at communicating with others.. My goal would be to always enforce the server rules on everyone fairly. I’m always working to improve myself, and I handle most situations calmly.",I believe around Sr. mod or even Admin maybe if I get accepted lol.,Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;TICK HERE IF YOU ARE ABLE TO JOIN DURING HOLIDAYS.,3 - 4 hours,"Not really notes nor suggestions.. Whoever is reviewing this, have a good day

Kind regards,
Sincerely - Silencee__",Yes,,,,,
